"user_id","status_id","created_at","screen_name","date"
"157479149",1502059892206710016,"2022-03-10 23:12:39","TatoBrown","2022-03-11"
"1578961946",1502316042483290112,"2022-03-11 16:10:30","elisacarrio","2022-03-11"
"1579326655",1502359451919130112,"2022-03-11 19:03:00","CascallaresPJ","2022-03-11"
"1584076484",1502378707750579968,"2022-03-11 20:19:31","magariovero","2022-03-11"
"1590123116",1502123910975790080,"2022-03-11 03:27:03","PameVerasay","2022-03-11"
"1596124255",1435047840292679936,"2021-09-07 01:10:41","Martinez_EF","2022-03-11"
"1598951042",1502417692715800064,"2022-03-11 22:54:26","gabiestevezok","2022-03-11"
"159964842",1501680581788280064,"2022-03-09 22:05:25","maluisastorani","2022-03-11"
"161308045",1502313574949179904,"2022-03-11 16:00:42","jusgobar","2022-03-11"
"161438782",1501317392110010112,"2022-03-08 22:02:14","carmenpolledo","2022-03-11"
"1615564993",1502296455691650048,"2022-03-11 14:52:41","IngridJetter","2022-03-11"
"162099154",1502245410852669952,"2022-03-11 11:29:50","sbatakis","2022-03-11"
"162181568",1502371203427749888,"2022-03-11 19:49:42","slospennato","2022-03-11"
"162465278",1502339970996090112,"2022-03-11 17:45:35","ItaiHagman","2022-03-11"
"162873142",1502339865924410112,"2022-03-11 17:45:10","LicDanielArroyo","2022-03-11"
"1631369960",1502362094485870080,"2022-03-11 19:13:30","laurmachado","2022-03-11"
"163162392",1502400570254099968,"2022-03-11 21:46:23","pyedlin","2022-03-11"
"163551613",1502343897816600064,"2022-03-11 18:01:12","FtePatriaGrande","2022-03-11"
"1641872756",1502399531832410112,"2022-03-11 21:42:16","AnaMariaIanni","2022-03-11"
"164335332",1502365299567300096,"2022-03-11 19:26:14","gracielaocana","2022-03-11"
"164368516",1502353062446490112,"2022-03-11 18:37:37","LegisCABA","2022-03-11"
"164774579",1501319548703759872,"2022-03-08 22:10:48","frigeriorogelio","2022-03-11"
"16492551",1500483126182789888,"2022-03-06 14:47:09","fedesturze","2022-03-11"
"166022063",1499108869561280000,"2022-03-02 19:46:21","SanzErnesto","2022-03-11"
"166177152",1502315905078159872,"2022-03-11 16:09:58","AgriculturaAR","2022-03-11"
"167751026",1502270120311379968,"2022-03-11 13:08:02","TOPOarg","2022-03-11"
"1681990982",1502277234824039936,"2022-03-11 13:36:18","JoseLuisRamonOk","2022-03-11"
"1691697295",1502324202493380096,"2022-03-11 16:42:56","ArabelaCarreras","2022-03-11"
"169579393",1502274885527160064,"2022-03-11 13:26:58","mauricloss","2022-03-11"
"170843906",1502034749589700096,"2022-03-10 21:32:45","altamirajorge","2022-03-11"
"171650522",1502347086934810112,"2022-03-11 18:13:52","CancilleriaARG","2022-03-11"
"172064501",1501694683805880064,"2022-03-09 23:01:27","MatiasLammens","2022-03-11"
"1723102656",1502382915262500096,"2022-03-11 20:36:14","LaspinaL","2022-03-11"
"172841079",1502363910355170048,"2022-03-11 19:20:43","MariaMigliore","2022-03-11"
"174010839",1499168982481329920,"2022-03-02 23:45:13","rgillavedra","2022-03-11"
"174286642",1502341419423310080,"2022-03-11 17:51:21","MarceloKoenig","2022-03-11"
"17429002",1496635499674579968,"2022-02-23 23:58:03","estebanbullrich","2022-03-11"
"174409008",1501152234675059968,"2022-03-08 11:05:57","nancysgonzalez","2022-03-11"
"17449646",1502372853609639936,"2022-03-11 19:56:15","eavogadro","2022-03-11"
"174801590",1502377163089189888,"2022-03-11 20:13:23","ReyesFernanda","2022-03-11"
"175273213",1502353804947120128,"2022-03-11 18:40:34","AgustinLaje","2022-03-11"
"175422899",1502359086343589888,"2022-03-11 19:01:33","Solanopo","2022-03-11"
"179675345",1502338407300750080,"2022-03-11 17:39:23","vikidonda","2022-03-11"
"179679166",1502370741236509952,"2022-03-11 19:47:52","parola_graciela","2022-03-11"
"179960598",1502079123275010048,"2022-03-11 00:29:04","CarlosTomada","2022-03-11"
