"user_id","screen_name","description","name","followers_count","category_","url_path","profile_image_url","image"
"1227613833851785216","MinHabitatAR","Ministerio de Desarrollo Territorial y Hábitat de la Nación Argentina","Ministerio de Desarrollo Territorial y Hábitat","17935","national executive","https://raw.githubusercontent.com/guadag12/pen/main/MinHabitatAR.rds","http://pbs.twimg.com/profile_images/1417556881338470400/F0kNBJ8X_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1417556881338470400/F0kNBJ8X_normal.jpg "" height=""52""></img>"
"144929758","msalnacion","Cuenta oficial del Ministerio de Salud de la Nación <U+0001F1E6><U+0001F1F7>","Ministerio de Salud de la Nación","566588","national executive","https://raw.githubusercontent.com/guadag12/pen/main/msalnacion.rds","http://pbs.twimg.com/profile_images/1417499558872064003/rVqR0SAt_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1417499558872064003/rVqR0SAt_normal.jpg "" height=""52""></img>"
"172064501","MatiasLammens","Ministro de Turismo y Deportes <U+0001F1E6><U+0001F1F7>","Matías Lammens","197405","national executive","https://raw.githubusercontent.com/guadag12/pen/main/MatiasLammens.rds","http://pbs.twimg.com/profile_images/1380629413054795781/cCIbc7J6_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1380629413054795781/cCIbc7J6_normal.jpg "" height=""52""></img>"
"270168698","DominguezJul","Ministro de Agricultura, Ganadería y Pesca de la República Argentina.","Julián Domínguez","111503","national executive","https://raw.githubusercontent.com/guadag12/pen/main/DominguezJul.rds","http://pbs.twimg.com/profile_images/1442495735560392711/YmslqhlW_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1442495735560392711/YmslqhlW_normal.jpg "" height=""52""></img>"
"27515656","juancabandie","Papá de Pedro y Ciro Néstor. Ministro de Ambiente y Desarrollo Sostenible. Riquelmista","Juan Cabandié","247437","national executive","https://raw.githubusercontent.com/guadag12/pen/main/juancabandie.rds","http://pbs.twimg.com/profile_images/1380616341414105089/mnDw09Rh_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1380616341414105089/mnDw09Rh_normal.jpg "" height=""52""></img>"
"2786609149","RossiAgustinOk","Santafesino de Vera, rosarino por adopción. Militante peronista. Con Nestor y Cristina volví a creer en los sueños colectivos.","Agustín Rossi","248380","national executive","https://raw.githubusercontent.com/guadag12/pen/main/RossiAgustinOk.rds","http://pbs.twimg.com/profile_images/1426021699145932801/nJgEWFHG_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1426021699145932801/nJgEWFHG_normal.jpg "" height=""52""></img>"
"317214518","TurismoNacionAR","Cuenta oficial del turismo de la Argentina. #VuelvePreViaje","Turismo Argentina","234818","national executive","https://raw.githubusercontent.com/guadag12/pen/main/TurismoNacionAR.rds","http://pbs.twimg.com/profile_images/1417484010901626896/ECyJfPL1_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1417484010901626896/ECyJfPL1_normal.jpg "" height=""52""></img>"
"332918283","Lozano_Claudio","Dirigente Nac. de Unidad Popular, Coord. del Instituto de Pensamiento y Políticas Públicas y Director del Banco Nación. Te invito a conocer nuestro trabajo.","Claudio R. Lozano","37226","national executive","https://raw.githubusercontent.com/guadag12/pen/main/Lozano_Claudio.rds","http://pbs.twimg.com/profile_images/1161630838813016066/juFpxoFp_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1161630838813016066/juFpxoFp_normal.jpg "" height=""52""></img>"
"3368366073","VilmaIbarraL","Abogada. Secretaria Legal y Técnica de la Presidencia. Barrio de Agronomía, CABA. Mi país, mi familia, mis amigas, mi bici, mis libros, San Lorenzo. <U+0001F49C>","Vilma Ibarra","48356","national executive","https://raw.githubusercontent.com/guadag12/pen/main/VilmaIbarraL.rds","http://pbs.twimg.com/profile_images/1234525898038284293/ywm6QzU__normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1234525898038284293/ywm6QzU__normal.jpg "" height=""52""></img>"
"368746304","gkatopodis","Ministro de Obras Públicas de la Nación. Casado con Nancy, papá de Aylén y Santiago. Militante y abogado. #SanMartín es mi lugar.","Gabriel Katopodis","87118","national executive","https://raw.githubusercontent.com/guadag12/pen/main/gkatopodis.rds","http://pbs.twimg.com/profile_images/1380580618782793730/-hMeIWtp_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1380580618782793730/-hMeIWtp_normal.jpg "" height=""52""></img>"
